Price,Company Name,Stops,Duration,Destination,From,Date
$112,Spirit Airlines,nonstop,4h 32m,ATL,LAX,2023-06-08
$310,American Airlines,nonstop,4h 38m,ATL,LAX,2023-06-08
$334,Alaska Airlines,nonstop,4h 38m,ATL,LAX,2023-06-08
$264,American Airlines,1 stop,6h 32m,ATL,LAX,2023-06-08
$264,American Airlines,1 stop,7h 07m,ATL,LAX,2023-06-08
$359,Delta,nonstop,4h 24m,ATL,LAX,2023-06-08
$264,American Airlines,1 stop,7h 33m,ATL,LAX,2023-06-08
$264,American Airlines,1 stop,6h 42m,ATL,LAX,2023-06-08
$270,United Airlines,1 stop,6h 59m,ATL,LAX,2023-06-08
$318,American Airlines,1 stop,6h 36m,ATL,LAX,2023-06-08
$318,American Airlines,1 stop,6h 41m,ATL,LAX,2023-06-08
$270,United Airlines,1 stop,7h 15m,ATL,LAX,2023-06-08
$294,United Airlines,1 stop,6h 34m,ATL,LAX,2023-06-08
$419,Delta,nonstop,4h 26m,ATL,LAX,2023-06-08
$270,United Airlines,1 stop,6h 13m,ATL,LAX,2023-06-08
$243,United Airlines,1 stop,7h 57m,ATL,LAX,2023-06-08
$419,Delta,nonstop,4h 26m,ATL,LAX,2023-06-08
$320,American Airlines,1 stop,6h 49m,ATL,LAX,2023-06-08
$224,American Airlines,1 stop,9h 27m,ATL,LAX,2023-06-08
$243,United Airlines,1 stop,6h 59m,ATL,LAX,2023-06-08
$419,Delta,nonstop,4h 30m,ATL,LAX,2023-06-08
$264,American Airlines,1 stop,7h 21m,ATL,LAX,2023-06-08
$264,American Airlines,1 stop,8h 33m,ATL,LAX,2023-06-08
$243,United Airlines,1 stop,7h 16m,ATL,LAX,2023-06-08
$245,United Airlines,1 stop,7h 17m,ATL,LAX,2023-06-08
$243,United Airlines,1 stop,8h 34m,ATL,LAX,2023-06-08
$251,United Airlines,1 stop,8h 25m,ATL,LAX,2023-06-08
$294,United Airlines,1 stop,7h 16m,ATL,LAX,2023-06-08
$264,American Airlines,1 stop,7h 45m,ATL,LAX,2023-06-08
$287,United Airlines,1 stop,7h 47m,ATL,LAX,2023-06-08
$243,United Airlines,1 stop,7h 40m,ATL,LAX,2023-06-08
$318,American Airlines,1 stop,7h 49m,ATL,LAX,2023-06-08
$270,United Airlines,1 stop,7h 18m,ATL,LAX,2023-06-08
$256,United Airlines,1 stop,8h 57m,ATL,LAX,2023-06-08
$257,United Airlines,1 stop,8h 48m,ATL,LAX,2023-06-08
$320,American Airlines,1 stop,8h 07m,ATL,LAX,2023-06-08
$399,American Airlines,1 stop,6h 05m,ATL,LAX,2023-06-08
$399,American Airlines,1 stop,6h 15m,ATL,LAX,2023-06-08
$243,United Airlines,1 stop,8h 46m,ATL,LAX,2023-06-08
$393,United Airlines,1 stop,6h 46m,ATL,LAX,2023-06-08
$239,United Airlines,1 stop,9h 00m,ATL,LAX,2023-06-08
$254,United Airlines,1 stop,9h 46m,ATL,LAX,2023-06-08
$318,American Airlines,1 stop,8h 55m,ATL,LAX,2023-06-08
$318,American Airlines,1 stop,7h 57m,ATL,LAX,2023-06-08
$320,American Airlines,1 stop,9h 05m,ATL,LAX,2023-06-08
$399,American Airlines,1 stop,7h 07m,ATL,LAX,2023-06-08
$399,American Airlines,1 stop,7h 10m,ATL,LAX,2023-06-08
$399,American Airlines,1 stop,7h 15m,ATL,LAX,2023-06-08
$397,American Airlines,1 stop,7h 17m,ATL,LAX,2023-06-08
$393,United Airlines,1 stop,7h 31m,ATL,LAX,2023-06-08
$393,United Airlines,1 stop,7h 31m,ATL,LAX,2023-06-08
$320,American Airlines,1 stop,8h 44m,ATL,LAX,2023-06-08
$399,American Airlines,1 stop,8h 09m,ATL,LAX,2023-06-08
$399,American Airlines,1 stop,8h 20m,ATL,LAX,2023-06-08
$131,Spirit Airlines,1 stop,13h 47m,ATL,LAX,2023-06-08
$415,United Airlines,1 stop,8h 03m,ATL,LAX,2023-06-08
$393,United Airlines,1 stop,8h 43m,ATL,LAX,2023-06-08
$399,American Airlines,1 stop,8h 37m,ATL,LAX,2023-06-08
$399,American Airlines,1 stop,7h 33m,ATL,LAX,2023-06-08
$393,United Airlines,1 stop,8h 50m,ATL,LAX,2023-06-08
$162,Spirit Airlines,1 stop,12h 28m,ATL,LAX,2023-06-08
$239,United Airlines,1 stop,9h 00m,ATL,LAX,2023-06-08
$254,United Airlines,1 stop,9h 46m,ATL,LAX,2023-06-08
$318,American Airlines,1 stop,8h 55m,ATL,LAX,2023-06-08
$202,Spirit Airlines,1 stop,10h 20m,ATL,LAX,2023-06-08
$318,American Airlines,1 stop,7h 57m,ATL,LAX,2023-06-08
$499,Delta,nonstop,4h 25m,ATL,LAX,2023-06-08
$202,Spirit Airlines,1 stop,10h 27m,ATL,LAX,2023-06-08
$320,American Airlines,1 stop,9h 05m,ATL,LAX,2023-06-08
$162,Spirit Airlines,1 stop,12h 43m,ATL,LAX,2023-06-08
$399,American Airlines,1 stop,7h 07m,ATL,LAX,2023-06-08
$399,American Airlines,1 stop,7h 10m,ATL,LAX,2023-06-08
$399,American Airlines,1 stop,7h 15m,ATL,LAX,2023-06-08
$397,American Airlines,1 stop,7h 17m,ATL,LAX,2023-06-08
$210,Spirit Airlines,2 stops,11h 25m,ATL,LAX,2023-06-08
$393,United Airlines,1 stop,7h 31m,ATL,LAX,2023-06-08
$393,United Airlines,1 stop,7h 31m,ATL,LAX,2023-06-08
$167,Spirit Airlines,1 stop,13h 08m,ATL,LAX,2023-06-08
$176,Spirit Airlines,2 stops,12h 34m,ATL,LAX,2023-06-08
$320,American Airlines,1 stop,8h 44m,ATL,LAX,2023-06-08
$342,American Airlines,1 stop,9h 18m,ATL,LAX,2023-06-08
$187,Spirit Airlines,1 stop,12h 57m,ATL,LAX,2023-06-08
$342,American Airlines,1 stop,9h 27m,ATL,LAX,2023-06-08
$499,Delta,nonstop,4h 29m,ATL,LAX,2023-06-08
