Price,Company Name,Stops,Duration,Destination,From,Date
$233,Alaska Airlines,1 stop,7h 37m,DEN,LAX,2023-06-01
$101,Spirit Airlines,2 stops,11h 35m,DEN,LAX,2023-06-01
$176,Delta,1 stop,7h 45m,DEN,LAX,2023-06-01
$89,"Spirit Airlines, Frontier",1 stop,12h 53m,DEN,LAX,2023-06-01
$176,Delta,1 stop,9h 08m,DEN,LAX,2023-06-01
$300,United Airlines,1 stop,5h 12m,DEN,LAX,2023-06-01
$329,Delta,1 stop,4h 01m,DEN,LAX,2023-06-01
$70,"Spirit Airlines, Frontier",1 stop,14h 04m,DEN,LAX,2023-06-01
$199,"Spirit Airlines, Frontier",1 stop,7h 33m,DEN,LAX,2023-06-01
$279,Delta,1 stop,6h 27m,DEN,LAX,2023-06-01
$279,Delta,1 stop,6h 49m,DEN,LAX,2023-06-01
$272,United Airlines,1 stop,7h 15m,DEN,LAX,2023-06-01
$272,United Airlines,1 stop,7h 15m,DEN,LAX,2023-06-01
$279,Delta,1 stop,6h 56m,DEN,LAX,2023-06-01
$279,Delta,1 stop,7h 05m,DEN,LAX,2023-06-01
$130,"Spirit Airlines, Frontier",2 stops,10h 59m,DEN,LAX,2023-06-01
$363,United Airlines,1 stop,3h 57m,DEN,LAX,2023-06-01
$363,United Airlines,1 stop,3h 58m,DEN,LAX,2023-06-01
$248,United Airlines,1 stop,8h 50m,DEN,LAX,2023-06-01
$373,United Airlines,1 stop,3h 51m,DEN,LAX,2023-06-01
$328,United Airlines,1 stop,6h 30m,DEN,LAX,2023-06-01
$311,United Airlines,1 stop,7h 17m,DEN,LAX,2023-06-01
$248,United Airlines,1 stop,10h 03m,DEN,LAX,2023-06-01
$240,United Airlines,1 stop,10h 34m,DEN,LAX,2023-06-01
$373,United Airlines,1 stop,5h 04m,DEN,LAX,2023-06-01
$329,Delta,1 stop,7h 03m,DEN,LAX,2023-06-01
$286,United Airlines,1 stop,8h 50m,DEN,LAX,2023-06-01
$363,United Airlines,1 stop,5h 37m,DEN,LAX,2023-06-01
$272,United Airlines,1 stop,9h 30m,DEN,LAX,2023-06-01
$363,United Airlines,1 stop,5h 42m,DEN,LAX,2023-06-01
$101,Spirit Airlines,2 stops,16h 23m,DEN,LAX,2023-06-01
$279,Delta,1 stop,9h 19m,DEN,LAX,2023-06-01
$227,"Spirit Airlines, Frontier",1 stop,10h 30m,DEN,LAX,2023-06-01
$373,United Airlines,1 stop,5h 35m,DEN,LAX,2023-06-01
$282,United Airlines,1 stop,9h 30m,DEN,LAX,2023-06-01
$228,Alaska Airlines,1 stop,11h 57m,DEN,LAX,2023-06-01
$263,United Airlines,1 stop,9h 15m,DEN,LAX,2023-06-01
$333,Alaska Airlines,1 stop,7h 30m,DEN,LAX,2023-06-01
$198,Alaska Airlines,1 stop,10h 47m,DEN,LAX,2023-06-01
$313,Alaska Airlines,1 stop,8h 37m,DEN,LAX,2023-06-01
$261,American Airlines,1 stop,9h 40m,DEN,LAX,2023-06-01
$340,Alaska Airlines,1 stop,7h 57m,DEN,LAX,2023-06-01
$62,Spirit Airlines,2 stops,19h 14m,DEN,LAX,2023-06-01
$62,Spirit Airlines,2 stops,19h 14m,DEN,LAX,2023-06-01
$240,United Airlines,1 stop,12h 16m,DEN,LAX,2023-06-01
$277,United Airlines,1 stop,10h 43m,DEN,LAX,2023-06-01
$363,United Airlines,1 stop,7h 06m,DEN,LAX,2023-06-01
$293,United Airlines,1 stop,10h 06m,DEN,LAX,2023-06-01
$311,United Airlines,1 stop,9h 22m,DEN,LAX,2023-06-01
$286,United Airlines,1 stop,10h 25m,DEN,LAX,2023-06-01
$228,Alaska Airlines,1 stop,12h 57m,DEN,LAX,2023-06-01
$263,United Airlines,1 stop,10h 14m,DEN,LAX,2023-06-01
$373,United Airlines,1 stop,6h 48m,DEN,LAX,2023-06-01
$248,United Airlines,1 stop,12h 03m,DEN,LAX,2023-06-01
$268,"Spirit Airlines, Frontier",1 stop,10h 14m,DEN,LAX,2023-06-01
$385,American Airlines,1 stop,6h 29m,DEN,LAX,2023-06-01
$385,American Airlines,1 stop,6h 30m,DEN,LAX,2023-06-01
$373,United Airlines,1 stop,7h 04m,DEN,LAX,2023-06-01
$383,Alaska Airlines,1 stop,6h 44m,DEN,LAX,2023-06-01
$329,Delta,1 stop,9h 00m,DEN,LAX,2023-06-01
$263,United Airlines,1 stop,10h 39m,DEN,LAX,2023-06-01
$277,United Airlines,1 stop,11h 28m,DEN,LAX,2023-06-01
$271,Alaska Airlines,2 stops,12h 07m,DEN,LAX,2023-06-01
$385,American Airlines,1 stop,7h 35m,DEN,LAX,2023-06-01
$263,United Airlines,1 stop,12h 50m,DEN,LAX,2023-06-01
$146,Spirit Airlines,2 stops,17h 14m,DEN,LAX,2023-06-01
$385,American Airlines,1 stop,7h 46m,DEN,LAX,2023-06-01
$428,American Airlines,1 stop,6h 03m,DEN,LAX,2023-06-01
$338,Alaska Airlines,1 stop,9h 57m,DEN,LAX,2023-06-01
$286,American Airlines,1 stop,10h 59m,DEN,LAX,2023-06-01
$240,United Airlines,1 stop,14h 18m,DEN,LAX,2023-06-01
$378,American Airlines,2 stops,8h 28m,DEN,LAX,2023-06-01
$263,United Airlines,1 stop,13h 30m,DEN,LAX,2023-06-01
$286,United Airlines,1 stop,12h 30m,DEN,LAX,2023-06-01
$242,Alaska Airlines,2 stops,14h 22m,DEN,LAX,2023-06-01
$242,Alaska Airlines,2 stops,14h 22m,DEN,LAX,2023-06-01
$282,Alaska Airlines,2 stops,12h 39m,DEN,LAX,2023-06-01
$428,American Airlines,1 stop,6h 43m,DEN,LAX,2023-06-01
$428,American Airlines,1 stop,6h 46m,DEN,LAX,2023-06-01
$263,United Airlines,1 stop,13h 49m,DEN,LAX,2023-06-01
$428,American Airlines,1 stop,6h 50m,DEN,LAX,2023-06-01
$288,Alaska Airlines,2 stops,12h 39m,DEN,LAX,2023-06-01
$449,United Airlines,1 stop,6h 06m,DEN,LAX,2023-06-01
$385,American Airlines,1 stop,8h 50m,DEN,LAX,2023-06-01
$292,Alaska Airlines,2 stops,12h 39m,DEN,LAX,2023-06-01
$344,American Airlines,1 stop,9h 24m,DEN,LAX,2023-06-01
$263,United Airlines,1 stop,14h 14m,DEN,LAX,2023-06-01
$357,American Airlines,2 stops,10h 06m,DEN,LAX,2023-06-01
$428,American Airlines,1 stop,7h 18m,DEN,LAX,2023-06-01
$348,Alaska Airlines,1 stop,10h 39m,DEN,LAX,2023-06-01
$390,American Airlines,2 stops,8h 50m,DEN,LAX,2023-06-01
$263,United Airlines,1 stop,14h 29m,DEN,LAX,2023-06-01
$342,Alaska Airlines,2 stops,11h 07m,DEN,LAX,2023-06-01
$277,United Airlines,1 stop,14h 00m,DEN,LAX,2023-06-01
$308,Alaska Airlines,1 stop,12h 39m,DEN,LAX,2023-06-01
$390,American Airlines,2 stops,9h 09m,DEN,LAX,2023-06-01
$248,Alaska Airlines,1 stop,15h 22m,DEN,LAX,2023-06-01
$428,American Airlines,1 stop,6h 33m,DEN,LAX,2023-06-01
$263,United Airlines,1 stop,14h 54m,DEN,LAX,2023-06-01
$373,American Airlines,2 stops,10h 06m,DEN,LAX,2023-06-01
$405,American Airlines,2 stops,8h 45m,DEN,LAX,2023-06-01
$240,United Airlines,1 stop,15h 59m,DEN,LAX,2023-06-01
$130,"Spirit Airlines, Frontier",2 stops,18h 15m,DEN,LAX,2023-06-01
$277,United Airlines,1 stop,14h 26m,DEN,LAX,2023-06-01
$308,JetBlue,1 stop,12h 00m,DEN,LAX,2023-06-01
$338,Alaska Airlines,2 stops,11h 57m,DEN,LAX,2023-06-01
$428,American Airlines,1 stop,8h 18m,DEN,LAX,2023-06-01
$428,American Airlines,1 stop,8h 24m,DEN,LAX,2023-06-01
$157,Spirit Airlines,3 stops,19h 14m,DEN,LAX,2023-06-01
$433,American Airlines,2 stops,8h 08m,DEN,LAX,2023-06-01
$343,Alaska Airlines,2 stops,11h 57m,DEN,LAX,2023-06-01
$428,American Airlines,1 stop,8h 38m,DEN,LAX,2023-06-01
$433,American Airlines,2 stops,8h 19m,DEN,LAX,2023-06-01
$428,American Airlines,1 stop,7h 32m,DEN,LAX,2023-06-01
$390,American Airlines,2 stops,10h 14m,DEN,LAX,2023-06-01
$428,American Airlines,1 stop,8h 51m,DEN,LAX,2023-06-01
$433,American Airlines,2 stops,8h 36m,DEN,LAX,2023-06-01
$243,United Airlines,1 stop,15h 31m,DEN,LAX,2023-06-01
$433,American Airlines,2 stops,8h 38m,DEN,LAX,2023-06-01
$433,American Airlines,2 stops,8h 45m,DEN,LAX,2023-06-01
$298,United Airlines,1 stop,13h 19m,DEN,LAX,2023-06-01
$428,American Airlines,1 stop,7h 55m,DEN,LAX,2023-06-01
$390,American Airlines,2 stops,10h 43m,DEN,LAX,2023-06-01
$390,American Airlines,1 stop,10h 46m,DEN,LAX,2023-06-01
$459,American Airlines,1 stop,8h 02m,DEN,LAX,2023-06-01
$417,American Airlines,2 stops,9h 54m,DEN,LAX,2023-06-01
$433,American Airlines,1 stop,9h 23m,DEN,LAX,2023-06-01
$252,Alaska Airlines,2 stops,16h 57m,DEN,LAX,2023-06-01
$268,United Airlines,1 stop,15h 12m,DEN,LAX,2023-06-01
$248,Alaska Airlines,1 stop,17h 22m,DEN,LAX,2023-06-01
$121,Spirit Airlines,2 stops,22h 15m,DEN,LAX,2023-06-01
$121,Spirit Airlines,2 stops,22h 15m,DEN,LAX,2023-06-01
$277,United Airlines,1 stop,16h 15m,DEN,LAX,2023-06-01
$362,United Airlines,1 stop,11h 26m,DEN,LAX,2023-06-01
$472,American Airlines,1 stop,8h 04m,DEN,LAX,2023-06-01
$258,Alaska Airlines,2 stops,16h 57m,DEN,LAX,2023-06-01
$258,Alaska Airlines,2 stops,16h 57m,DEN,LAX,2023-06-01
$433,American Airlines,2 stops,9h 42m,DEN,LAX,2023-06-01
$428,American Airlines,1 stop,8h 54m,DEN,LAX,2023-06-01
$433,American Airlines,2 stops,9h 48m,DEN,LAX,2023-06-01
$433,American Airlines,1 stop,9h 53m,DEN,LAX,2023-06-01
$355,American Airlines,1 stop,13h 20m,DEN,LAX,2023-06-01
$240,United Airlines,1 stop,18h 18m,DEN,LAX,2023-06-01
$318,Alaska Airlines,1 stop,14h 57m,DEN,LAX,2023-06-01
$277,United Airlines,1 stop,16h 41m,DEN,LAX,2023-06-01
$409,American Airlines,1 stop,10h 00m,DEN,LAX,2023-06-01
$268,Alaska Airlines,2 stops,16h 57m,DEN,LAX,2023-06-01
$390,American Airlines,2 stops,11h 50m,DEN,LAX,2023-06-01
$390,American Airlines,2 stops,11h 51m,DEN,LAX,2023-06-01
$390,American Airlines,1 stop,12h 01m,DEN,LAX,2023-06-01
$433,American Airlines,2 stops,10h 14m,DEN,LAX,2023-06-01
$282,United Airlines,1 stop,16h 45m,DEN,LAX,2023-06-01
$338,Alaska Airlines,1 stop,14h 31m,DEN,LAX,2023-06-01
$278,Alaska Airlines,1 stop,16h 57m,DEN,LAX,2023-06-01
$433,American Airlines,2 stops,10h 33m,DEN,LAX,2023-06-01
$539,United Airlines,1 stop,6h 14m,DEN,LAX,2023-06-01
$48,Spirit Airlines,1 stop,26h 40m,DEN,LAX,2023-06-01
$333,Alaska Airlines,2 stops,14h 57m,DEN,LAX,2023-06-01
$333,Alaska Airlines,2 stops,14h 57m,DEN,LAX,2023-06-01
$390,American Airlines,1 stop,12h 51m,DEN,LAX,2023-06-01
$292,Alaska Airlines,2 stops,16h 57m,DEN,LAX,2023-06-01
$268,Alaska Airlines,2 stops,18h 02m,DEN,LAX,2023-06-01
$268,Alaska Airlines,2 stops,18h 02m,DEN,LAX,2023-06-01
$328,Alaska Airlines,1 stop,15h 41m,DEN,LAX,2023-06-01
$390,American Airlines,1 stop,13h 01m,DEN,LAX,2023-06-01
$347,Alaska Airlines,2 stops,14h 42m,DEN,LAX,2023-06-01
$243,United Airlines,1 stop,18h 01m,DEN,LAX,2023-06-01
$282,United Airlines,1 stop,17h 44m,DEN,LAX,2023-06-01
$390,American Airlines,2 stops,13h 02m,DEN,LAX,2023-06-01
$518,"United Airlines, Delta",2 stops,6h 21m,DEN,LAX,2023-06-01
$347,American Airlines,2 stops,14h 51m,DEN,LAX,2023-06-01
$413,American Airlines,2 stops,12h 08m,DEN,LAX,2023-06-01
$263,Alaska Airlines,2 stops,18h 27m,DEN,LAX,2023-06-01
$263,Alaska Airlines,2 stops,18h 27m,DEN,LAX,2023-06-01
$248,Alaska Airlines,1 stop,18h 02m,DEN,LAX,2023-06-01
$253,Sun Country Air,1 stop,17h 28m,DEN,LAX,2023-06-01
$357,American Airlines,2 stops,14h 32m,DEN,LAX,2023-06-01
$357,American Airlines,2 stops,14h 32m,DEN,LAX,2023-06-01
$159,Spirit Airlines,2 stops,22h 33m,DEN,LAX,2023-06-01
$395,American Airlines,2 stops,13h 02m,DEN,LAX,2023-06-01
$272,United Airlines,1 stop,7h 04m,DEN,LAX,2023-06-02
$272,United Airlines,1 stop,7h 07m,DEN,LAX,2023-06-02
$279,Delta,1 stop,6h 56m,DEN,LAX,2023-06-02
$279,Delta,1 stop,7h 03m,DEN,LAX,2023-06-02
$273,United Airlines,1 stop,7h 26m,DEN,LAX,2023-06-02
$168,United Airlines,1 stop,8h 55m,DEN,LAX,2023-06-02
$272,United Airlines,1 stop,7h 42m,DEN,LAX,2023-06-02
$209,Delta,1 stop,8h 56m,DEN,LAX,2023-06-02
$363,United Airlines,1 stop,4h 52m,DEN,LAX,2023-06-02
$286,American Airlines,1 stop,7h 40m,DEN,LAX,2023-06-02
$273,United Airlines,1 stop,8h 15m,DEN,LAX,2023-06-02
$286,Alaska Airlines,1 stop,7h 57m,DEN,LAX,2023-06-02
$78,"Spirit Airlines, Frontier",1 stop,14h 13m,DEN,LAX,2023-06-02
$363,United Airlines,1 stop,5h 16m,DEN,LAX,2023-06-02
$272,United Airlines,1 stop,8h 32m,DEN,LAX,2023-06-02
$373,United Airlines,1 stop,5h 10m,DEN,LAX,2023-06-02
$308,Alaska Airlines,1 stop,6h 27m,DEN,LAX,2023-06-02
$248,Alaska Airlines,1 stop,8h 37m,DEN,LAX,2023-06-02
$329,Delta,1 stop,6h 49m,DEN,LAX,2023-06-02
$263,Alaska Airlines,1 stop,9h 09m,DEN,LAX,2023-06-02
$61,Spirit Airlines,1 stop,15h 55m,DEN,LAX,2023-06-02
$188,Sun Country Air,1 stop,10h 12m,DEN,LAX,2023-06-02
$272,United Airlines,1 stop,8h 55m,DEN,LAX,2023-06-02
$286,United Airlines,1 stop,8h 29m,DEN,LAX,2023-06-02
$310,Alaska Airlines,1 stop,6h 44m,DEN,LAX,2023-06-02
$273,United Airlines,1 stop,9h 06m,DEN,LAX,2023-06-02
$272,United Airlines,1 stop,9h 11m,DEN,LAX,2023-06-02
$273,United Airlines,1 stop,7h 56m,DEN,LAX,2023-06-02
$272,United Airlines,1 stop,8h 10m,DEN,LAX,2023-06-02
$279,Delta,1 stop,9h 19m,DEN,LAX,2023-06-02
$267,United Airlines,1 stop,9h 48m,DEN,LAX,2023-06-02
$152,Spirit Airlines,2 stops,11h 35m,DEN,LAX,2023-06-02
$303,United Airlines,1 stop,8h 55m,DEN,LAX,2023-06-02
$363,United Airlines,1 stop,7h 04m,DEN,LAX,2023-06-02
$363,United Airlines,1 stop,7h 03m,DEN,LAX,2023-06-02
$267,United Airlines,1 stop,10h 25m,DEN,LAX,2023-06-02
$373,United Airlines,1 stop,6h 46m,DEN,LAX,2023-06-02
$224,"Spirit Airlines, Frontier",1 stop,9h 41m,DEN,LAX,2023-06-02
$261,Alaska Airlines,1 stop,10h 39m,DEN,LAX,2023-06-02
$286,American Airlines,1 stop,9h 47m,DEN,LAX,2023-06-02
$307,United Airlines,1 stop,9h 07m,DEN,LAX,2023-06-02
$385,American Airlines,1 stop,6h 29m,DEN,LAX,2023-06-02
$286,United Airlines,1 stop,9h 53m,DEN,LAX,2023-06-02
$385,American Airlines,1 stop,6h 30m,DEN,LAX,2023-06-02
$267,United Airlines,1 stop,9h 25m,DEN,LAX,2023-06-02
$267,United Airlines,1 stop,10h 43m,DEN,LAX,2023-06-02
$277,United Airlines,1 stop,10h 24m,DEN,LAX,2023-06-02
$291,Alaska Airlines,1 stop,9h 57m,DEN,LAX,2023-06-02
$418,United Airlines,1 stop,5h 34m,DEN,LAX,2023-06-02
$277,United Airlines,1 stop,10h 43m,DEN,LAX,2023-06-02
$272,United Airlines,1 stop,9h 35m,DEN,LAX,2023-06-02
$195,"Spirit Airlines, Frontier",2 stops,11h 08m,DEN,LAX,2023-06-02
$280,"Spirit Airlines, Frontier",1 stop,9h 42m,DEN,LAX,2023-06-02
$286,United Airlines,1 stop,9h 22m,DEN,LAX,2023-06-02
$248,United Airlines,1 stop,11h 56m,DEN,LAX,2023-06-02
$286,American Airlines,1 stop,9h 40m,DEN,LAX,2023-06-02
$267,United Airlines,1 stop,11h 24m,DEN,LAX,2023-06-02
$262,"Spirit Airlines, Frontier",1 stop,10h 40m,DEN,LAX,2023-06-02
$268,"Spirit Airlines, Frontier",1 stop,10h 30m,DEN,LAX,2023-06-02
$423,United Airlines,1 stop,6h 13m,DEN,LAX,2023-06-02
$428,American Airlines,1 stop,6h 03m,DEN,LAX,2023-06-02
$231,Alaska Airlines,1 stop,11h 57m,DEN,LAX,2023-06-02
$385,American Airlines,1 stop,7h 35m,DEN,LAX,2023-06-02
$449,United Airlines,1 stop,5h 22m,DEN,LAX,2023-06-02
$231,Alaska Airlines,1 stop,10h 47m,DEN,LAX,2023-06-02
$403,United Airlines,1 stop,7h 02m,DEN,LAX,2023-06-02
$318,Alaska Airlines,1 stop,10h 02m,DEN,LAX,2023-06-02
$385,American Airlines,1 stop,7h 46m,DEN,LAX,2023-06-02
$449,United Airlines,1 stop,5h 38m,DEN,LAX,2023-06-02
$267,United Airlines,1 stop,10h 49m,DEN,LAX,2023-06-02
$344,American Airlines,1 stop,9h 24m,DEN,LAX,2023-06-02
$423,United Airlines,1 stop,6h 40m,DEN,LAX,2023-06-02
$199,"Spirit Airlines, Frontier",1 stop,12h 14m,DEN,LAX,2023-06-02
$277,United Airlines,1 stop,11h 53m,DEN,LAX,2023-06-02
$428,American Airlines,1 stop,6h 43m,DEN,LAX,2023-06-02
$267,United Airlines,1 stop,12h 19m,DEN,LAX,2023-06-02
$428,American Airlines,1 stop,6h 46m,DEN,LAX,2023-06-02
$385,American Airlines,1 stop,8h 18m,DEN,LAX,2023-06-02
$378,American Airlines,2 stops,8h 28m,DEN,LAX,2023-06-02
$303,United Airlines,1 stop,11h 10m,DEN,LAX,2023-06-02
$261,Alaska Airlines,1 stop,12h 39m,DEN,LAX,2023-06-02
$286,United Airlines,1 stop,10h 35m,DEN,LAX,2023-06-02
$428,American Airlines,1 stop,6h 50m,DEN,LAX,2023-06-02
$267,United Airlines,1 stop,12h 40m,DEN,LAX,2023-06-02
$286,American Airlines,1 stop,10h 59m,DEN,LAX,2023-06-02
$286,United Airlines,1 stop,12h 05m,DEN,LAX,2023-06-02
$152,Spirit Airlines,2 stops,16h 23m,DEN,LAX,2023-06-02
$318,Alaska Airlines,1 stop,11h 02m,DEN,LAX,2023-06-02
$258,United Airlines,1 stop,12h 09m,DEN,LAX,2023-06-02
$428,American Airlines,1 stop,7h 18m,DEN,LAX,2023-06-02
$277,United Airlines,1 stop,12h 43m,DEN,LAX,2023-06-02
$390,American Airlines,2 stops,8h 38m,DEN,LAX,2023-06-02
$344,American Airlines,1 stop,9h 23m,DEN,LAX,2023-06-02
$267,United Airlines,1 stop,13h 08m,DEN,LAX,2023-06-02
$390,American Airlines,2 stops,8h 50m,DEN,LAX,2023-06-02
$273,"Breeze Airways, Frontier",1 stop,11h 02m,DEN,LAX,2023-06-02
$277,United Airlines,1 stop,13h 07m,DEN,LAX,2023-06-02
$428,American Airlines,1 stop,6h 33m,DEN,LAX,2023-06-02
$146,Spirit Airlines,2 stops,17h 14m,DEN,LAX,2023-06-02
$149,"Spirit Airlines, Frontier",2 stops,15h 18m,DEN,LAX,2023-06-02
$94,Spirit Airlines,2 stops,19h 14m,DEN,LAX,2023-06-02
$357,American Airlines,2 stops,10h 26m,DEN,LAX,2023-06-02
$190,Spirit Airlines,2 stops,16h 14m,DEN,LAX,2023-06-02
$428,American Airlines,1 stop,8h 24m,DEN,LAX,2023-06-02
$533,United Airlines,1 stop,4h 42m,DEN,LAX,2023-06-02
$253,Alaska Airlines,1 stop,13h 27m,DEN,LAX,2023-06-02
$428,American Airlines,1 stop,7h 08m,DEN,LAX,2023-06-02
$231,Alaska Airlines,1 stop,15h 22m,DEN,LAX,2023-06-02
$403,American Airlines,2 stops,9h 09m,DEN,LAX,2023-06-02
$405,American Airlines,2 stops,9h 04m,DEN,LAX,2023-06-02
$257,Alaska Airlines,2 stops,14h 22m,DEN,LAX,2023-06-02
$177,"Spirit Airlines, Frontier",1 stop,14h 55m,DEN,LAX,2023-06-02
$409,American Airlines,1 stop,7h 57m,DEN,LAX,2023-06-02
