Price,Company Name,Stops,Duration,Destination,From,Date
$395,Hawaiian Airlines,1 stop,7h 36m,HNL,LAX,2023-07-03
$294,United Airlines,nonstop,5h 31m,HNL,LAX,2023-07-03
$326,American Airlines,nonstop,5h 48m,HNL,LAX,2023-07-03
$319,Alaska Airlines,nonstop,6h 10m,HNL,LAX,2023-07-03
$373,United Airlines,nonstop,5h 38m,HNL,LAX,2023-07-03
$373,United Airlines,nonstop,5h 30m,HNL,LAX,2023-07-03
$373,United Airlines,nonstop,5h 40m,HNL,LAX,2023-07-03
$400,American Airlines,nonstop,5h 57m,HNL,LAX,2023-07-03
$450,Delta,nonstop,5h 42m,HNL,LAX,2023-07-03
$462,United Airlines,nonstop,5h 40m,HNL,LAX,2023-07-03
$510,Hawaiian Airlines,nonstop,5h 45m,HNL,LAX,2023-07-03
$510,Hawaiian Airlines,nonstop,5h 50m,HNL,LAX,2023-07-03
$395,Hawaiian Airlines,1 stop,7h 36m,HNL,LAX,2023-07-03
$556,American Airlines,nonstop,5h 48m,HNL,LAX,2023-07-03
$374,United Airlines,1 stop,8h 24m,HNL,LAX,2023-07-03
$570,Hawaiian Airlines,nonstop,5h 50m,HNL,LAX,2023-07-03
$455,Hawaiian Airlines,1 stop,7h 39m,HNL,LAX,2023-07-03
$395,Hawaiian Airlines,1 stop,8h 50m,HNL,LAX,2023-07-03
$481,American Airlines,1 stop,7h 55m,HNL,LAX,2023-07-03
$395,Hawaiian Airlines,1 stop,9h 22m,HNL,LAX,2023-07-03
$400,Alaska Airlines,1 stop,9h 29m,HNL,LAX,2023-07-03
$455,Hawaiian Airlines,1 stop,8h 30m,HNL,LAX,2023-07-03
$539,"United Airlines, Hawaiian Airlines",1 stop,7h 29m,HNL,LAX,2023-07-03
$471,United Airlines,1 stop,8h 26m,HNL,LAX,2023-07-03
$471,United Airlines,1 stop,8h 30m,HNL,LAX,2023-07-03
$515,Hawaiian Airlines,1 stop,7h 52m,HNL,LAX,2023-07-03
$680,Delta,nonstop,5h 48m,HNL,LAX,2023-07-03
$395,Hawaiian Airlines,1 stop,9h 50m,HNL,LAX,2023-07-03
$471,United Airlines,1 stop,8h 48m,HNL,LAX,2023-07-03
$481,American Airlines,1 stop,8h 30m,HNL,LAX,2023-07-03
$680,Delta,nonstop,5h 49m,HNL,LAX,2023-07-03
$471,United Airlines,1 stop,8h 45m,HNL,LAX,2023-07-03
$539,"United Airlines, Hawaiian Airlines",1 stop,7h 46m,HNL,LAX,2023-07-03
$539,"United Airlines, Hawaiian Airlines",1 stop,7h 49m,HNL,LAX,2023-07-03
$455,Hawaiian Airlines,1 stop,9h 10m,HNL,LAX,2023-07-03
$539,"United Airlines, Hawaiian Airlines",1 stop,7h 50m,HNL,LAX,2023-07-03
$362,United Airlines,1 stop,10h 41m,HNL,LAX,2023-07-03
$515,Hawaiian Airlines,1 stop,8h 17m,HNL,LAX,2023-07-03
$481,American Airlines,1 stop,8h 55m,HNL,LAX,2023-07-03
$539,"United Airlines, Hawaiian Airlines",1 stop,8h 05m,HNL,LAX,2023-07-03
$481,American Airlines,1 stop,9h 10m,HNL,LAX,2023-07-03
$463,Alaska Airlines,1 stop,9h 40m,HNL,LAX,2023-07-03
$539,"United Airlines, Hawaiian Airlines",1 stop,8h 33m,HNL,LAX,2023-07-03
$515,Hawaiian Airlines,1 stop,9h 00m,HNL,LAX,2023-07-03
$539,"United Airlines, Hawaiian Airlines",1 stop,8h 37m,HNL,LAX,2023-07-03
$539,"United Airlines, Hawaiian Airlines",1 stop,8h 40m,HNL,LAX,2023-07-03
$481,American Airlines,1 stop,9h 38m,HNL,LAX,2023-07-03
$455,Hawaiian Airlines,1 stop,10h 03m,HNL,LAX,2023-07-03
$539,"United Airlines, Hawaiian Airlines",1 stop,8h 44m,HNL,LAX,2023-07-03
$426,Hawaiian Airlines,1 stop,10h 33m,HNL,LAX,2023-07-03
$555,American Airlines,1 stop,8h 32m,HNL,LAX,2023-07-03
$539,"United Airlines, Hawaiian Airlines",1 stop,8h 53m,HNL,LAX,2023-07-03
$395,United Airlines,1 stop,11h 16m,HNL,LAX,2023-07-03
$537,"United Airlines, Alaska Airlines",1 stop,9h 00m,HNL,LAX,2023-07-03
$411,United Airlines,1 stop,11h 05m,HNL,LAX,2023-07-03
$539,"United Airlines, Hawaiian Airlines",1 stop,9h 05m,HNL,LAX,2023-07-03
$539,"United Airlines, Hawaiian Airlines",1 stop,9h 09m,HNL,LAX,2023-07-03
$548,"United Airlines, Hawaiian Airlines",1 stop,9h 00m,HNL,LAX,2023-07-03
$555,American Airlines,1 stop,8h 57m,HNL,LAX,2023-07-03
$395,United Airlines,1 stop,11h 36m,HNL,LAX,2023-07-03
$539,"United Airlines, Hawaiian Airlines",1 stop,9h 20m,HNL,LAX,2023-07-03
$485,United Airlines,1 stop,10h 14m,HNL,LAX,2023-07-03
$515,Hawaiian Airlines,1 stop,9h 50m,HNL,LAX,2023-07-03
$481,American Airlines,1 stop,10h 25m,HNL,LAX,2023-07-03
$485,United Airlines,1 stop,10h 22m,HNL,LAX,2023-07-03
$411,United Airlines,1 stop,11h 34m,HNL,LAX,2023-07-03
$426,Hawaiian Airlines,1 stop,11h 20m,HNL,LAX,2023-07-03
$498,Alaska Airlines,1 stop,10h 15m,HNL,LAX,2023-07-03
$539,"United Airlines, Hawaiian Airlines",1 stop,9h 39m,HNL,LAX,2023-07-03
$435,Alaska Airlines,1 stop,11h 15m,HNL,LAX,2023-07-03
$481,American Airlines,1 stop,10h 39m,HNL,LAX,2023-07-03
$485,United Airlines,1 stop,10h 38m,HNL,LAX,2023-07-03
$471,United Airlines,1 stop,10h 51m,HNL,LAX,2023-07-03
$539,"United Airlines, Hawaiian Airlines",1 stop,9h 48m,HNL,LAX,2023-07-03
$486,Hawaiian Airlines,1 stop,10h 39m,HNL,LAX,2023-07-03
$426,Hawaiian Airlines,1 stop,11h 40m,HNL,LAX,2023-07-03
$555,American Airlines,1 stop,9h 40m,HNL,LAX,2023-07-03
$469,United Airlines,1 stop,11h 00m,HNL,LAX,2023-07-03
$539,"United Airlines, Hawaiian Airlines",1 stop,9h 57m,HNL,LAX,2023-07-03
$438,Alaska Airlines,1 stop,11h 44m,HNL,LAX,2023-07-03
$539,"United Airlines, Hawaiian Airlines",1 stop,10h 13m,HNL,LAX,2023-07-03
$411,United Airlines,1 stop,12h 16m,HNL,LAX,2023-07-03
$481,American Airlines,1 stop,11h 24m,HNL,LAX,2023-07-03
$459,Alaska Airlines,1 stop,11h 50m,HNL,LAX,2023-07-03
$343,United Airlines,2 stops,13h 17m,HNL,LAX,2023-07-03
$486,Hawaiian Airlines,1 stop,11h 24m,HNL,LAX,2023-07-03
$539,"United Airlines, Hawaiian Airlines",1 stop,10h 35m,HNL,LAX,2023-07-03
$481,American Airlines,1 stop,11h 31m,HNL,LAX,2023-07-03
$411,United Airlines,1 stop,12h 40m,HNL,LAX,2023-07-03
$426,Hawaiian Airlines,1 stop,12h 26m,HNL,LAX,2023-07-03
$545,Hawaiian Airlines,1 stop,10h 35m,HNL,LAX,2023-07-03
$450,Alaska Airlines,1 stop,12h 13m,HNL,LAX,2023-07-03
$539,"United Airlines, Hawaiian Airlines",1 stop,10h 49m,HNL,LAX,2023-07-03
$395,United Airlines,1 stop,13h 06m,HNL,LAX,2023-07-03
$539,"United Airlines, Hawaiian Airlines",1 stop,10h 55m,HNL,LAX,2023-07-03
$485,United Airlines,1 stop,11h 53m,HNL,LAX,2023-07-03
$459,Alaska Airlines,1 stop,12h 25m,HNL,LAX,2023-07-03
$537,"United Airlines, Alaska Airlines",1 stop,11h 15m,HNL,LAX,2023-07-03
$343,United Airlines,2 stops,14h 00m,HNL,LAX,2023-07-03
$395,United Airlines,1 stop,13h 33m,HNL,LAX,2023-07-03
$539,"United Airlines, Hawaiian Airlines",1 stop,11h 18m,HNL,LAX,2023-07-03
$561,"United Airlines, Hawaiian Airlines",1 stop,9h 35m,HNL,LAX,2023-07-03
$411,United Airlines,1 stop,13h 41m,HNL,LAX,2023-07-03
$545,Hawaiian Airlines,1 stop,11h 36m,HNL,LAX,2023-07-03
$395,United Airlines,1 stop,14h 01m,HNL,LAX,2023-07-03
$397,Alaska Airlines,2 stops,13h 19m,HNL,LAX,2023-07-03
$688,American Airlines,1 stop,9h 31m,HNL,LAX,2023-07-03
$411,United Airlines,1 stop,13h 55m,HNL,LAX,2023-07-03
$400,Alaska Airlines,1 stop,14h 09m,HNL,LAX,2023-07-03
$498,Alaska Airlines,1 stop,12h 45m,HNL,LAX,2023-07-03
$580,Alaska Airlines,1 stop,11h 30m,HNL,LAX,2023-07-03
$395,United Airlines,1 stop,14h 28m,HNL,LAX,2023-07-03
$600,"United Airlines, Hawaiian Airlines",1 stop,11h 20m,HNL,LAX,2023-07-03
$400,"Spirit Airlines, Hawaiian Airlines",1 stop,9h 45m,HNL,LAX,2023-07-03
$545,Hawaiian Airlines,1 stop,12h 23m,HNL,LAX,2023-07-03
$459,Alaska Airlines,1 stop,14h 10m,HNL,LAX,2023-07-03
$481,American Airlines,1 stop,13h 58m,HNL,LAX,2023-07-03
$688,American Airlines,1 stop,10h 43m,HNL,LAX,2023-07-03
$555,American Airlines,1 stop,13h 03m,HNL,LAX,2023-07-03
$564,American Airlines,2 stops,12h 37m,HNL,LAX,2023-07-03
$689,Delta,1 stop,11h 01m,HNL,LAX,2023-07-03
$375,United Airlines,1 stop,16h 11m,HNL,LAX,2023-07-03
$438,Alaska Airlines,1 stop,15h 04m,HNL,LAX,2023-07-03
$640,American Airlines,2 stops,11h 31m,HNL,LAX,2023-07-03
$545,"United Airlines, Alaska Airlines",2 stops,13h 07m,HNL,LAX,2023-07-03
$420,United Airlines,2 stops,15h 16m,HNL,LAX,2023-07-03
$568,United Airlines,2 stops,13h 01m,HNL,LAX,2023-07-03
$481,American Airlines,1 stop,14h 46m,HNL,LAX,2023-07-03
$343,United Airlines,2 stops,16h 36m,HNL,LAX,2023-07-03
$565,Alaska Airlines,2 stops,13h 10m,HNL,LAX,2023-07-03
$565,Alaska Airlines,2 stops,13h 10m,HNL,LAX,2023-07-03
$481,American Airlines,1 stop,14h 52m,HNL,LAX,2023-07-03
$375,United Airlines,1 stop,16h 42m,HNL,LAX,2023-07-03
$555,American Airlines,1 stop,13h 47m,HNL,LAX,2023-07-03
