Price,Company Name,Stops,Duration,Destination,From,Date
$254,American Airlines,nonstop,4h 38m,ATL,LAX,2023-06-01
$73,Spirit Airlines,1 stop,25h 28m,ATL,LAX,2023-06-01
$209,American Airlines,1 stop,6h 15m,ATL,LAX,2023-06-01
$159,United Airlines,1 stop,6h 55m,ATL,LAX,2023-06-01
$204,United Airlines,1 stop,6h 10m,ATL,LAX,2023-06-01
$159,United Airlines,1 stop,6h 49m,ATL,LAX,2023-06-01
$209,American Airlines,1 stop,7h 07m,ATL,LAX,2023-06-01
$209,American Airlines,1 stop,7h 15m,ATL,LAX,2023-06-01
$159,United Airlines,1 stop,8h 18m,ATL,LAX,2023-06-01
$159,United Airlines,1 stop,8h 13m,ATL,LAX,2023-06-01
$204,United Airlines,1 stop,6h 44m,ATL,LAX,2023-06-01
$207,American Airlines,1 stop,6h 41m,ATL,LAX,2023-06-01
$159,United Airlines,1 stop,7h 27m,ATL,LAX,2023-06-01
$264,American Airlines,1 stop,6h 05m,ATL,LAX,2023-06-01
$209,American Airlines,1 stop,8h 07m,ATL,LAX,2023-06-01
$159,United Airlines,1 stop,8h 58m,ATL,LAX,2023-06-01
$159,United Airlines,1 stop,8h 58m,ATL,LAX,2023-06-01
$264,American Airlines,1 stop,6h 15m,ATL,LAX,2023-06-01
$159,United Airlines,1 stop,8h 03m,ATL,LAX,2023-06-01
$262,American Airlines,1 stop,6h 32m,ATL,LAX,2023-06-01
$264,American Airlines,1 stop,6h 30m,ATL,LAX,2023-06-01
$238,United Airlines,1 stop,6h 50m,ATL,LAX,2023-06-01
$169,American Airlines,1 stop,9h 12m,ATL,LAX,2023-06-01
$194,United Airlines,1 stop,8h 23m,ATL,LAX,2023-06-01
$194,United Airlines,1 stop,8h 37m,ATL,LAX,2023-06-01
$194,United Airlines,1 stop,8h 38m,ATL,LAX,2023-06-01
$264,American Airlines,1 stop,7h 20m,ATL,LAX,2023-06-01
$159,United Airlines,1 stop,9h 02m,ATL,LAX,2023-06-01
$257,United Airlines,1 stop,6h 50m,ATL,LAX,2023-06-01
$238,United Airlines,1 stop,6h 56m,ATL,LAX,2023-06-01
$359,Delta,nonstop,4h 21m,ATL,LAX,2023-06-01
$238,United Airlines,1 stop,8h 23m,ATL,LAX,2023-06-01
$264,American Airlines,1 stop,8h 35m,ATL,LAX,2023-06-01
$305,United Airlines,1 stop,7h 13m,ATL,LAX,2023-06-01
$262,American Airlines,1 stop,7h 57m,ATL,LAX,2023-06-01
$262,American Airlines,1 stop,8h 51m,ATL,LAX,2023-06-01
$234,American Airlines,1 stop,9h 24m,ATL,LAX,2023-06-01
$419,Delta,nonstop,4h 14m,ATL,LAX,2023-06-01
$389,Delta,nonstop,4h 26m,ATL,LAX,2023-06-01
$339,American Airlines,1 stop,6h 51m,ATL,LAX,2023-06-01
$337,American Airlines,1 stop,7h 17m,ATL,LAX,2023-06-01
$294,United Airlines,1 stop,8h 07m,ATL,LAX,2023-06-01
$339,American Airlines,1 stop,6h 42m,ATL,LAX,2023-06-01
$337,American Airlines,1 stop,7h 49m,ATL,LAX,2023-06-01
$287,United Airlines,1 stop,7h 56m,ATL,LAX,2023-06-01
$339,American Airlines,1 stop,8h 09m,ATL,LAX,2023-06-01
$339,American Airlines,1 stop,8h 20m,ATL,LAX,2023-06-01
$337,American Airlines,1 stop,8h 43m,ATL,LAX,2023-06-01
$294,United Airlines,1 stop,9h 34m,ATL,LAX,2023-06-01
$339,American Airlines,1 stop,9h 05m,ATL,LAX,2023-06-01
$399,American Airlines,1 stop,7h 10m,ATL,LAX,2023-06-01
$294,United Airlines,1 stop,9h 42m,ATL,LAX,2023-06-01
$399,American Airlines,1 stop,7h 12m,ATL,LAX,2023-06-01
$337,American Airlines,1 stop,8h 31m,ATL,LAX,2023-06-01
$339,American Airlines,1 stop,8h 44m,ATL,LAX,2023-06-01
$393,United Airlines,1 stop,8h 28m,ATL,LAX,2023-06-01
