Price,Company Name,Stops,Duration,Destination,From,Date
$164,Spirit Airlines,nonstop,4h 10m,ORD,LAX,2023-07-01
$146,Amtrak,0 changes,42h 55m,ORD,LAX,2023-07-01
$231,United Airlines,nonstop,4h 06m,ORD,LAX,2023-07-01
$299,United Airlines,nonstop,3h 56m,ORD,LAX,2023-07-01
$231,United Airlines,nonstop,4h 06m,ORD,LAX,2023-07-01
$231,United Airlines,nonstop,4h 08m,ORD,LAX,2023-07-01
$299,United Airlines,nonstop,4h 12m,ORD,LAX,2023-07-01
$339,United Airlines,nonstop,4h 14m,ORD,LAX,2023-07-01
$296,American Airlines,nonstop,4h 10m,ORD,LAX,2023-07-01
$349,American Airlines,nonstop,4h 10m,ORD,LAX,2023-07-01
$349,American Airlines,nonstop,4h 13m,ORD,LAX,2023-07-01
$368,United Airlines,nonstop,4h 13m,ORD,LAX,2023-07-01
$368,United Airlines,nonstop,4h 14m,ORD,LAX,2023-07-01
$299,United Airlines,nonstop,4h 14m,ORD,LAX,2023-07-01
$349,American Airlines,nonstop,4h 07m,ORD,LAX,2023-07-01
$220,American Airlines,1 stop,6h 40m,ORD,LAX,2023-07-01
$220,United Airlines,1 stop,6h 25m,ORD,LAX,2023-07-01
$459,American Airlines,nonstop,4h 10m,ORD,LAX,2023-07-01
$338,United Airlines,1 stop,6h 18m,ORD,LAX,2023-07-01
$212,Spirit Airlines,1 stop,7h 09m,ORD,LAX,2023-07-01
$220,United Airlines,1 stop,8h 04m,ORD,LAX,2023-07-01
$549,American Airlines,nonstop,4h 09m,ORD,LAX,2023-07-01
$549,American Airlines,nonstop,4h 15m,ORD,LAX,2023-07-01
$425,United Airlines,1 stop,6h 09m,ORD,LAX,2023-07-01
$408,United Airlines,1 stop,6h 30m,ORD,LAX,2023-07-01
$469,American Airlines,1 stop,5h 45m,ORD,LAX,2023-07-01
$408,United Airlines,1 stop,6h 51m,ORD,LAX,2023-07-01
$306,American Airlines,1 stop,8h 28m,ORD,LAX,2023-07-01
$469,American Airlines,1 stop,6h 05m,ORD,LAX,2023-07-01
$469,American Airlines,1 stop,6h 20m,ORD,LAX,2023-07-01
$422,United Airlines,1 stop,7h 09m,ORD,LAX,2023-07-01
$469,American Airlines,1 stop,6h 28m,ORD,LAX,2023-07-01
$427,United Airlines,1 stop,7h 17m,ORD,LAX,2023-07-01
$338,United Airlines,1 stop,8h 34m,ORD,LAX,2023-07-01
$469,American Airlines,1 stop,6h 50m,ORD,LAX,2023-07-01
$408,United Airlines,1 stop,7h 52m,ORD,LAX,2023-07-01
$435,United Airlines,1 stop,7h 32m,ORD,LAX,2023-07-01
$469,American Airlines,1 stop,7h 07m,ORD,LAX,2023-07-01
$408,United Airlines,1 stop,8h 07m,ORD,LAX,2023-07-01
$408,United Airlines,1 stop,8h 10m,ORD,LAX,2023-07-01
$359,American Airlines,1 stop,8h 57m,ORD,LAX,2023-07-01
$578,American Airlines,1 stop,5h 54m,ORD,LAX,2023-07-01
$469,American Airlines,1 stop,7h 30m,ORD,LAX,2023-07-01
$559,American Airlines,1 stop,6h 25m,ORD,LAX,2023-07-01
$469,American Airlines,1 stop,7h 40m,ORD,LAX,2023-07-01
$443,American Airlines,1 stop,8h 11m,ORD,LAX,2023-07-01
$469,American Airlines,1 stop,7h 50m,ORD,LAX,2023-07-01
$469,American Airlines,1 stop,7h 47m,ORD,LAX,2023-07-01
$559,United Airlines,1 stop,6h 36m,ORD,LAX,2023-07-01
$467,American Airlines,1 stop,7h 59m,ORD,LAX,2023-07-01
$559,American Airlines,1 stop,6h 42m,ORD,LAX,2023-07-01
$519,Alaska Airlines,1 stop,7h 25m,ORD,LAX,2023-07-01
$467,American Airlines,1 stop,8h 02m,ORD,LAX,2023-07-01
$469,American Airlines,1 stop,8h 12m,ORD,LAX,2023-07-01
$390,American Airlines,1 stop,9h 29m,ORD,LAX,2023-07-01
$440,American Airlines,1 stop,7h 57m,ORD,LAX,2023-07-01
$559,American Airlines,1 stop,7h 01m,ORD,LAX,2023-07-01
$619,United Airlines,1 stop,6h 19m,ORD,LAX,2023-07-01
$559,United Airlines,1 stop,7h 32m,ORD,LAX,2023-07-01
$469,American Airlines,1 stop,8h 41m,ORD,LAX,2023-07-01
$559,American Airlines,1 stop,7h 35m,ORD,LAX,2023-07-01
$488,Delta,1 stop,7h 15m,ORD,LAX,2023-07-01
$589,Delta,1 stop,5h 51m,ORD,LAX,2023-07-01
$212,Spirit Airlines,1 stop,10h 05m,ORD,LAX,2023-07-01
$559,American Airlines,1 stop,6h 25m,ORD,LAX,2023-07-01
$288,Alaska Airlines,1 stop,9h 55m,ORD,LAX,2023-07-01
$357,American Airlines,1 stop,8h 31m,ORD,LAX,2023-07-01
$433,Alaska Airlines,1 stop,7h 31m,ORD,LAX,2023-07-01
$469,American Airlines,1 stop,7h 40m,ORD,LAX,2023-07-01
$443,American Airlines,1 stop,8h 11m,ORD,LAX,2023-07-01
$515,United Airlines,1 stop,6h 15m,ORD,LAX,2023-07-01
$473,"United Airlines, Alaska Airlines",1 stop,7h 50m,ORD,LAX,2023-07-01
$469,American Airlines,1 stop,7h 50m,ORD,LAX,2023-07-01
$469,American Airlines,1 stop,7h 47m,ORD,LAX,2023-07-01
$589,Delta,1 stop,6h 07m,ORD,LAX,2023-07-01
$559,United Airlines,1 stop,6h 36m,ORD,LAX,2023-07-01
$467,American Airlines,1 stop,7h 59m,ORD,LAX,2023-07-01
$559,American Airlines,1 stop,6h 42m,ORD,LAX,2023-07-01
$519,Alaska Airlines,1 stop,7h 25m,ORD,LAX,2023-07-01
$467,American Airlines,1 stop,8h 02m,ORD,LAX,2023-07-01
$554,United Airlines,1 stop,6h 51m,ORD,LAX,2023-07-01
$424,Delta,1 stop,8h 41m,ORD,LAX,2023-07-01
$212,Spirit Airlines,1 stop,11h 22m,ORD,LAX,2023-07-01
$554,United Airlines,1 stop,6h 54m,ORD,LAX,2023-07-01
$339,Delta,1 stop,8h 45m,ORD,LAX,2023-07-01
$231,JetBlue,1 stop,11h 38m,ORD,LAX,2023-07-01
$493,United Airlines,1 stop,7h 53m,ORD,LAX,2023-07-01
$469,American Airlines,1 stop,8h 12m,ORD,LAX,2023-07-01
$390,American Airlines,1 stop,9h 29m,ORD,LAX,2023-07-01
$440,American Airlines,1 stop,7h 57m,ORD,LAX,2023-07-01
$329,United Airlines,1 stop,10h 23m,ORD,LAX,2023-07-01
$559,American Airlines,1 stop,7h 01m,ORD,LAX,2023-07-01
$493,United Airlines,1 stop,7h 16m,ORD,LAX,2023-07-01
$408,United Airlines,1 stop,9h 19m,ORD,LAX,2023-07-01
$619,United Airlines,1 stop,6h 19m,ORD,LAX,2023-07-01
$433,Alaska Airlines,1 stop,9h 06m,ORD,LAX,2023-07-01
$424,Delta,1 stop,9h 05m,ORD,LAX,2023-07-01
$306,JetBlue,1 stop,9h 58m,ORD,LAX,2023-07-01
$513,United Airlines,1 stop,7h 54m,ORD,LAX,2023-07-01
$306,JetBlue,1 stop,9h 43m,ORD,LAX,2023-07-01
$503,United Airlines,1 stop,8h 04m,ORD,LAX,2023-07-01
$559,United Airlines,1 stop,7h 32m,ORD,LAX,2023-07-01
$469,American Airlines,1 stop,8h 41m,ORD,LAX,2023-07-01
$359,JetBlue,1 stop,10h 23m,ORD,LAX,2023-07-01
$392,United Airlines,1 stop,9h 53m,ORD,LAX,2023-07-01
$559,American Airlines,1 stop,7h 35m,ORD,LAX,2023-07-01
$488,Delta,1 stop,8h 39m,ORD,LAX,2023-07-01
$608,United Airlines,1 stop,6h 55m,ORD,LAX,2023-07-01
$557,American Airlines,1 stop,7h 39m,ORD,LAX,2023-07-01
$559,United Airlines,1 stop,6h 55m,ORD,LAX,2023-07-01
$557,American Airlines,1 stop,7h 45m,ORD,LAX,2023-07-01
$347,United Airlines,1 stop,10h 52m,ORD,LAX,2023-07-01
$488,Delta,1 stop,8h 47m,ORD,LAX,2023-07-01
$370,United Airlines,1 stop,10h 28m,ORD,LAX,2023-07-01
$554,United Airlines,1 stop,7h 54m,ORD,LAX,2023-07-01
$329,United Airlines,1 stop,11h 10m,ORD,LAX,2023-07-01
$559,United Airlines,1 stop,8h 00m,ORD,LAX,2023-07-01
$503,United Airlines,1 stop,8h 39m,ORD,LAX,2023-07-01
$309,United Airlines,1 stop,10h 19m,ORD,LAX,2023-07-01
$424,Delta,1 stop,9h 50m,ORD,LAX,2023-07-01
$442,United Airlines,1 stop,9h 38m,ORD,LAX,2023-07-01
$392,United Airlines,1 stop,10h 20m,ORD,LAX,2023-07-01
$459,Alaska Airlines,1 stop,9h 30m,ORD,LAX,2023-07-01
$424,Delta,1 stop,9h 54m,ORD,LAX,2023-07-01
$424,Delta,1 stop,9h 10m,ORD,LAX,2023-07-01
$306,JetBlue,1 stop,10h 58m,ORD,LAX,2023-07-01
$469,American Airlines,1 stop,9h 21m,ORD,LAX,2023-07-01
$648,United Airlines,1 stop,6h 50m,ORD,LAX,2023-07-01
$648,United Airlines,1 stop,6h 53m,ORD,LAX,2023-07-01
$559,American Airlines,1 stop,7h 22m,ORD,LAX,2023-07-01
$197,Spirit Airlines,1 stop,12h 07m,ORD,LAX,2023-07-01
$379,JetBlue,1 stop,9h 35m,ORD,LAX,2023-07-01
$492,American Airlines,1 stop,9h 18m,ORD,LAX,2023-07-01
$559,American Airlines,1 stop,8h 20m,ORD,LAX,2023-07-01
$458,United Airlines,1 stop,9h 47m,ORD,LAX,2023-07-01
$402,American Airlines,1 stop,10h 44m,ORD,LAX,2023-07-01
$583,United Airlines,1 stop,8h 02m,ORD,LAX,2023-07-01
$357,American Airlines,1 stop,10h 31m,ORD,LAX,2023-07-01
$444,American Airlines,2 stops,9h 00m,ORD,LAX,2023-07-01
$227,Spirit Airlines,1 stop,12h 39m,ORD,LAX,2023-07-01
$342,United Airlines,1 stop,11h 41m,ORD,LAX,2023-07-01
$554,United Airlines,1 stop,8h 36m,ORD,LAX,2023-07-01
$428,United Airlines,1 stop,10h 22m,ORD,LAX,2023-07-01
$490,American Airlines,1 stop,9h 32m,ORD,LAX,2023-07-01
$469,American Airlines,1 stop,9h 08m,ORD,LAX,2023-07-01
$400,American Airlines,1 stop,10h 58m,ORD,LAX,2023-07-01
$442,United Airlines,1 stop,10h 19m,ORD,LAX,2023-07-01
$227,Spirit Airlines,1 stop,13h 02m,ORD,LAX,2023-07-01
$559,United Airlines,1 stop,7h 54m,ORD,LAX,2023-07-01
$532,United Airlines,2 stops,8h 50m,ORD,LAX,2023-07-01
$412,United Airlines,1 stop,10h 56m,ORD,LAX,2023-07-01
$589,Delta,1 stop,8h 25m,ORD,LAX,2023-07-01
$488,Delta,1 stop,9h 11m,ORD,LAX,2023-07-01
$559,American Airlines,1 stop,8h 55m,ORD,LAX,2023-07-01
$619,United Airlines,1 stop,7h 15m,ORD,LAX,2023-07-01
$563,"United Airlines, Alaska Airlines",1 stop,9h 00m,ORD,LAX,2023-07-01
$559,American Airlines,1 stop,8h 57m,ORD,LAX,2023-07-01
$370,United Airlines,1 stop,11h 39m,ORD,LAX,2023-07-01
$370,United Airlines,1 stop,11h 40m,ORD,LAX,2023-07-01
$388,American Airlines,2 stops,10h 35m,ORD,LAX,2023-07-01
$412,American Airlines,1 stop,11h 17m,ORD,LAX,2023-07-01
$559,American Airlines,1 stop,9h 13m,ORD,LAX,2023-07-01
$558,American Airlines,1 stop,9h 24m,ORD,LAX,2023-07-01
$392,United Airlines,1 stop,11h 39m,ORD,LAX,2023-07-01
$565,American Airlines,2 stops,9h 00m,ORD,LAX,2023-07-01
$619,United Airlines,1 stop,8h 42m,ORD,LAX,2023-07-01
$397,Alaska Airlines,2 stops,11h 31m,ORD,LAX,2023-07-01
$589,Delta,1 stop,9h 00m,ORD,LAX,2023-07-01
$488,Delta,1 stop,9h 40m,ORD,LAX,2023-07-01
$679,American Airlines,1 stop,6h 58m,ORD,LAX,2023-07-01
$589,Delta,1 stop,8h 19m,ORD,LAX,2023-07-01
$402,American Airlines,1 stop,11h 54m,ORD,LAX,2023-07-01
$392,United Airlines,1 stop,12h 02m,ORD,LAX,2023-07-01
$608,United Airlines,1 stop,9h 00m,ORD,LAX,2023-07-01
$347,United Airlines,1 stop,12h 26m,ORD,LAX,2023-07-01
$559,American Airlines,1 stop,8h 59m,ORD,LAX,2023-07-01
$544,American Airlines,2 stops,8h 54m,ORD,LAX,2023-07-01
$612,United Airlines,2 stops,8h 49m,ORD,LAX,2023-07-01
$619,United Airlines,1 stop,9h 10m,ORD,LAX,2023-07-01
$383,United Airlines,1 stop,12h 00m,ORD,LAX,2023-07-01
$450,American Airlines,1 stop,11h 36m,ORD,LAX,2023-07-01
$440,Alaska Airlines,2 stops,11h 31m,ORD,LAX,2023-07-01
$561,American Airlines,2 stops,9h 40m,ORD,LAX,2023-07-01
$463,American Airlines,1 stop,11h 32m,ORD,LAX,2023-07-01
$547,American Airlines,1 stop,10h 19m,ORD,LAX,2023-07-01
$444,American Airlines,2 stops,10h 45m,ORD,LAX,2023-07-01
$370,United Airlines,1 stop,12h 51m,ORD,LAX,2023-07-01
$683,American Airlines,2 stops,8h 14m,ORD,LAX,2023-07-01
$392,American Airlines,1 stop,12h 45m,ORD,LAX,2023-07-01
$342,United Airlines,1 stop,13h 28m,ORD,LAX,2023-07-01
$695,American Airlines,2 stops,8h 03m,ORD,LAX,2023-07-01
$408,United Airlines,1 stop,11h 21m,ORD,LAX,2023-07-01
$347,United Airlines,1 stop,13h 00m,ORD,LAX,2023-07-01
$610,American Airlines,2 stops,8h 31m,ORD,LAX,2023-07-01
$602,United Airlines,1 stop,9h 44m,ORD,LAX,2023-07-01
$442,United Airlines,1 stop,12h 02m,ORD,LAX,2023-07-01
$612,United Airlines,2 stops,9h 21m,ORD,LAX,2023-07-01
$409,JetBlue,1 stop,12h 15m,ORD,LAX,2023-07-01
$518,Alaska Airlines,1 stop,11h 05m,ORD,LAX,2023-07-01
$532,United Airlines,2 stops,10h 30m,ORD,LAX,2023-07-01
$532,United Airlines,2 stops,10h 30m,ORD,LAX,2023-07-01
$347,United Airlines,1 stop,13h 13m,ORD,LAX,2023-07-01
$388,American Airlines,1 stop,13h 04m,ORD,LAX,2023-07-01
$636,"United Airlines, Delta",2 stops,9h 12m,ORD,LAX,2023-07-01
$408,United Airlines,1 stop,11h 54m,ORD,LAX,2023-07-01
$481,Alaska Airlines,2 stops,11h 31m,ORD,LAX,2023-07-01
$412,United Airlines,1 stop,12h 15m,ORD,LAX,2023-07-01
$679,American Airlines,1 stop,8h 09m,ORD,LAX,2023-07-01
$538,United Airlines,1 stop,10h 09m,ORD,LAX,2023-07-01
$378,United Airlines,1 stop,12h 29m,ORD,LAX,2023-07-01
$392,American Airlines,1 stop,13h 15m,ORD,LAX,2023-07-01
$227,Spirit Airlines,1 stop,14h 16m,ORD,LAX,2023-07-01
$664,American Airlines,2 stops,9h 00m,ORD,LAX,2023-07-01
$646,American Airlines,2 stops,9h 17m,ORD,LAX,2023-07-01
$780,American Airlines,1 stop,7h 49m,ORD,LAX,2023-07-01
$639,United Airlines,2 stops,9h 30m,ORD,LAX,2023-07-01
$527,United Airlines,2 stops,11h 07m,ORD,LAX,2023-07-01
$527,United Airlines,2 stops,11h 07m,ORD,LAX,2023-07-01
$412,American Airlines,1 stop,13h 05m,ORD,LAX,2023-07-01
$256,Spirit Airlines,1 stop,15h 00m,ORD,LAX,2023-07-01
$418,United Airlines,1 stop,12h 22m,ORD,LAX,2023-07-01
