Price,Company Name,Stops,Duration,Destination,From,Date
75,Spirit Airlines,nonstop,4h 05m,ORD,LAX,6/1/23
169,United Airlines,nonstop,4h 06m,ORD,LAX,6/1/23
169,United Airlines,nonstop,4h 07m,ORD,LAX,6/1/23
231,American Airlines,nonstop,4h 10m,ORD,LAX,6/1/23
189,American Airlines,1 stop,6h 30m,ORD,LAX,6/1/23
231,United Airlines,nonstop,4h 06m,ORD,LAX,6/1/23
231,American Airlines,nonstop,4h 09m,ORD,LAX,6/1/23
189,American Airlines,1 stop,6h 47m,ORD,LAX,6/1/23
296,American Airlines,nonstop,4h 07m,ORD,LAX,6/1/23
296,American Airlines,nonstop,4h 10m,ORD,LAX,6/1/23
296,American Airlines,nonstop,4h 13m,ORD,LAX,6/1/23
296,American Airlines,nonstop,4h 15m,ORD,LAX,6/1/23
284,United Airlines,nonstop,3h 55m,ORD,LAX,6/1/23
236,United Airlines,1 stop,6h 00m,ORD,LAX,6/1/23
324,United Airlines,nonstop,4h 10m,ORD,LAX,6/1/23
199,United Airlines,1 stop,7h 17m,ORD,LAX,6/1/23
236,United Airlines,1 stop,6h 00m,ORD,LAX,6/1/23
209,United Airlines,1 stop,7h 43m,ORD,LAX,6/1/23
107,Spirit Airlines,1 stop,12h 35m,ORD,LAX,6/1/23
349,American Airlines,nonstop,4h 10m,ORD,LAX,6/1/23
241,American Airlines,1 stop,8h 22m,ORD,LAX,6/1/23
266,United Airlines,1 stop,6h 12m,ORD,LAX,6/1/23
361,United Airlines,nonstop,4h 10m,ORD,LAX,6/1/23
306,American Airlines,1 stop,6h 13m,ORD,LAX,6/1/23
241,American Airlines,1 stop,8h 51m,ORD,LAX,6/1/23
305,United Airlines,1 stop,6h 34m,ORD,LAX,6/1/23
304,United Airlines,1 stop,6h 36m,ORD,LAX,6/1/23
359,American Airlines,1 stop,5h 45m,ORD,LAX,6/1/23
306,American Airlines,1 stop,7h 50m,ORD,LAX,6/1/23
353,United Airlines,1 stop,6h 00m,ORD,LAX,6/1/23
304,United Airlines,1 stop,7h 54m,ORD,LAX,6/1/23
276,United Airlines,1 stop,8h 07m,ORD,LAX,6/1/23
359,American Airlines,1 stop,6h 15m,ORD,LAX,6/1/23
304,United Airlines,1 stop,8h 32m,ORD,LAX,6/1/23
304,United Airlines,1 stop,8h 49m,ORD,LAX,6/1/23
359,American Airlines,1 stop,7h 01m,ORD,LAX,6/1/23
359,American Airlines,1 stop,7h 25m,ORD,LAX,6/1/23
353,United Airlines,1 stop,7h 47m,ORD,LAX,6/1/23
