Price,Company Name,Stops,Duration,Destination,From,Date
$94,Spirit Airlines,nonstop,3h 03m,DFW,LAX,2023-06-01
$61,"Spirit Airlines, Sun Country Air",1 stop,24h 40m,DFW,LAX,2023-06-01
$87,Spirit Airlines,1 stop,6h 48m,DFW,LAX,2023-06-01
$210,American Airlines,nonstop,3h 10m,DFW,LAX,2023-06-01
$210,American Airlines,nonstop,3h 10m,DFW,LAX,2023-06-01
$210,American Airlines,nonstop,3h 14m,DFW,LAX,2023-06-01
$210,American Airlines,nonstop,3h 13m,DFW,LAX,2023-06-01
$210,American Airlines,nonstop,3h 18m,DFW,LAX,2023-06-01
$210,American Airlines,nonstop,3h 26m,DFW,LAX,2023-06-01
$210,American Airlines,nonstop,3h 26m,DFW,LAX,2023-06-01
$210,American Airlines,nonstop,3h 11m,DFW,LAX,2023-06-01
$210,Delta,nonstop,3h 01m,DFW,LAX,2023-06-01
$210,American Airlines,nonstop,3h 16m,DFW,LAX,2023-06-01
$210,American Airlines,nonstop,3h 17m,DFW,LAX,2023-06-01
$264,American Airlines,nonstop,3h 10m,DFW,LAX,2023-06-01
$264,American Airlines,nonstop,3h 11m,DFW,LAX,2023-06-01
$220,American Airlines,1 stop,5h 18m,DFW,LAX,2023-06-01
$220,American Airlines,1 stop,5h 18m,DFW,LAX,2023-06-01
$264,American Airlines,nonstop,3h 13m,DFW,LAX,2023-06-01
$220,American Airlines,1 stop,5h 25m,DFW,LAX,2023-06-01
$220,American Airlines,1 stop,5h 44m,DFW,LAX,2023-06-01
$220,American Airlines,1 stop,6h 05m,DFW,LAX,2023-06-01
$220,American Airlines,1 stop,6h 12m,DFW,LAX,2023-06-01
$220,American Airlines,1 stop,5h 04m,DFW,LAX,2023-06-01
$220,American Airlines,1 stop,6h 10m,DFW,LAX,2023-06-01
$220,United Airlines,1 stop,5h 21m,DFW,LAX,2023-06-01
$220,United Airlines,1 stop,5h 17m,DFW,LAX,2023-06-01
$220,United Airlines,1 stop,5h 26m,DFW,LAX,2023-06-01
$220,United Airlines,1 stop,5h 32m,DFW,LAX,2023-06-01
$220,United Airlines,1 stop,5h 37m,DFW,LAX,2023-06-01
$220,United Airlines,1 stop,5h 39m,DFW,LAX,2023-06-01
$57,Spirit Airlines,1 stop,11h 33m,DFW,LAX,2023-06-01
$220,American Airlines,1 stop,5h 04m,DFW,LAX,2023-06-01
$220,American Airlines,1 stop,6h 10m,DFW,LAX,2023-06-01
$220,United Airlines,1 stop,5h 21m,DFW,LAX,2023-06-01
$220,United Airlines,1 stop,5h 17m,DFW,LAX,2023-06-01
$161,Spirit Airlines,1 stop,8h 01m,DFW,LAX,2023-06-01
$220,United Airlines,1 stop,5h 26m,DFW,LAX,2023-06-01
$220,United Airlines,1 stop,5h 32m,DFW,LAX,2023-06-01
$220,United Airlines,1 stop,5h 37m,DFW,LAX,2023-06-01
$220,United Airlines,1 stop,5h 39m,DFW,LAX,2023-06-01
$274,American Airlines,1 stop,4h 48m,DFW,LAX,2023-06-01
$220,United Airlines,1 stop,5h 40m,DFW,LAX,2023-06-01
$220,United Airlines,1 stop,5h 43m,DFW,LAX,2023-06-01
$274,American Airlines,1 stop,4h 59m,DFW,LAX,2023-06-01
