Price,Company Name,Stops,Duration,Destination,From,Date
249,American Airlines,nonstop,5h 34m,JFK,LAX,2023-06-01
227,American Airlines,1 stop,8h 05m,JFK,LAX,2023-06-01
286,American Airlines,nonstop,5h 35m,JFK,LAX,2023-06-01
299,American Airlines,nonstop,5h 35m,JFK,LAX,2023-06-01
299,American Airlines,nonstop,5h 40m,JFK,LAX,2023-06-01
299,American Airlines,nonstop,5h 39m,JFK,LAX,2023-06-01
286,American Airlines,nonstop,5h 31m,JFK,LAX,2023-06-01
384,American Airlines,nonstop,5h 34m,JFK,LAX,2023-06-01
307,American Airlines,1 stop,7h 25m,JFK,LAX,2023-06-01
307,American Airlines,1 stop,7h 55m,JFK,LAX,2023-06-01
406,American Airlines,nonstop,5h 36m,JFK,LAX,2023-06-01
279,American Airlines,1 stop,9h 16m,JFK,LAX,2023-06-01
384,American Airlines,nonstop,5h 34m,JFK,LAX,2023-06-01
277,American Airlines,1 stop,9h 34m,JFK,LAX,2023-06-01
309,American Airlines,1 stop,8h 50m,JFK,LAX,2023-06-01
434,American Airlines,nonstop,5h 43m,JFK,LAX,2023-06-01
394,American Airlines,1 stop,7h 13m,JFK,LAX,2023-06-01
384,American Airlines,nonstop,5h 34m,JFK,LAX,2023-06-01
307,American Airlines,1 stop,10h 20m,JFK,LAX,2023-06-01
309,American Airlines,1 stop,10h 21m,JFK,LAX,2023-06-01
394,American Airlines,1 stop,8h 01m,JFK,LAX,2023-06-01
394,American Airlines,1 stop,8h 04m,JFK,LAX,2023-06-01
354,Alaska Airlines,1 stop,8h 39m,JFK,LAX,2023-06-01
444,American Airlines,1 stop,7h 39m,JFK,LAX,2023-06-01
394,American Airlines,1 stop,9h 19m,JFK,LAX,2023-06-01
341,JetBlue,1 stop,7h 54m,JFK,LAX,2023-06-01
394,American Airlines,1 stop,9h 29m,JFK,LAX,2023-06-01
444,Alaska Airlines,1 stop,8h 00m,JFK,LAX,2023-06-01
381,American Airlines,1 stop,7h 54m,JFK,LAX,2023-06-01
444,American Airlines,1 stop,8h 16m,JFK,LAX,2023-06-01
444,American Airlines,1 stop,8h 16m,JFK,LAX,2023-06-01
341,JetBlue,1 stop,8h 33m,JFK,LAX,2023-06-01
309,American Airlines,1 stop,10h 24m,JFK,LAX,2023-06-01
394,American Airlines,1 stop,10h 19m,JFK,LAX,2023-06-01
394,American Airlines,1 stop,10h 25m,JFK,LAX,2023-06-01
392,American Airlines,1 stop,8h 12m,JFK,LAX,2023-06-01
559,American Airlines,nonstop,5h 40m,JFK,LAX,2023-06-01
559,American Airlines,nonstop,5h 40m,JFK,LAX,2023-06-01
444,American Airlines,1 stop,10h 10m,JFK,LAX,2023-06-01
569,American Airlines,1 stop,7h 10m,JFK,LAX,2023-06-01
563,American Airlines,1 stop,7h 59m,JFK,LAX,2023-06-01
563,American Airlines,1 stop,8h 00m,JFK,LAX,2023-06-01
532,American Airlines,1 stop,9h 01m,JFK,LAX,2023-06-01
473,American Airlines,1 stop,10h 53m,JFK,LAX,2023-06-01
569,American Airlines,1 stop,8h 20m,JFK,LAX,2023-06-01
439,Alaska Airlines,1 stop,12h 40m,JFK,LAX,2023-06-01
476,JetBlue,1 stop,7h 59m,JFK,LAX,2023-06-01
569,American Airlines,1 stop,9h 15m,JFK,LAX,2023-06-01
462,JetBlue,1 stop,10h 00m,JFK,LAX,2023-06-01
476,JetBlue,1 stop,9h 31m,JFK,LAX,2023-06-01
563,American Airlines,1 stop,8h 13m,JFK,LAX,2023-06-01
569,American Airlines,1 stop,10h 30m,JFK,LAX,2023-06-01
569,American Airlines,1 stop,8h 56m,JFK,LAX,2023-06-01
476,JetBlue,1 stop,10h 44m,JFK,LAX,2023-06-01
569,American Airlines,1 stop,9h 46m,JFK,LAX,2023-06-01
694,American Airlines,1 stop,9h 00m,JFK,LAX,2023-06-01
699,American Airlines,1 stop,11h 00m,JFK,LAX,2023-06-01
439,Alaska Airlines,1 stop,19h 00m,JFK,LAX,2023-06-01
880,American Airlines,1 stop,8h 10m,JFK,LAX,2023-06-01
439,Alaska Airlines,1 stop,22h 31m,JFK,LAX,2023-06-01
394,American Airlines,1 stop,8h 04m,JFK,LAX,2023-06-01
279,American Airlines,1 stop,11h 39m,JFK,LAX,2023-06-01
260,"Spirit Airlines, Sun Country Air",2 stops,10h 43m,JFK,LAX,2023-06-01
354,Alaska Airlines,1 stop,8h 39m,JFK,LAX,2023-06-01
260,"Spirit Airlines, Sun Country Air",2 stops,10h 58m,JFK,LAX,2023-06-01
313,American Airlines,2 stops,11h 00m,JFK,LAX,2023-06-01
308,Alaska Airlines,1 stop,10h 39m,JFK,LAX,2023-06-01
301,Alaska Airlines,1 stop,11h 00m,JFK,LAX,2023-06-01
444,American Airlines,1 stop,7h 39m,JFK,LAX,2023-06-01
394,American Airlines,1 stop,9h 19m,JFK,LAX,2023-06-01
341,JetBlue,1 stop,7h 54m,JFK,LAX,2023-06-01
394,American Airlines,1 stop,9h 29m,JFK,LAX,2023-06-01
443,Alaska Airlines,1 stop,8h 04m,JFK,LAX,2023-06-01
444,Alaska Airlines,1 stop,8h 00m,JFK,LAX,2023-06-01
344,JetBlue,1 stop,10h 11m,JFK,LAX,2023-06-01
394,Alaska Airlines,1 stop,9h 40m,JFK,LAX,2023-06-01
