Price,Company Name,Stops,Duration,Destination,From,Date
$173,Alaska Airlines,1 stop,8h 23m,SFO,LAX,2023-06-01
$178,United Airlines,1 stop,8h 45m,SFO,LAX,2023-06-01
$163,United Airlines,1 stop,9h 28m,SFO,LAX,2023-06-01
$116,Amtrak,0 changes,11h 13m,SFO,LAX,2023-06-01
$198,Alaska Airlines,1 stop,9h 23m,SFO,LAX,2023-06-01
$203,American Airlines,1 stop,9h 38m,SFO,LAX,2023-06-01
$178,Alaska Airlines,1 stop,9h 39m,SFO,LAX,2023-06-01
$198,Alaska Airlines,1 stop,10h 12m,SFO,LAX,2023-06-01
$343,United Airlines,1 stop,3h 31m,SFO,LAX,2023-06-01
$148,Alaska Airlines,1 stop,10h 26m,SFO,LAX,2023-06-01
$178,Alaska Airlines,1 stop,10h 03m,SFO,LAX,2023-06-01
$188,United Airlines,1 stop,9h 37m,SFO,LAX,2023-06-01
$273,Alaska Airlines,1 stop,7h 08m,SFO,LAX,2023-06-01
$178,Alaska Airlines,1 stop,11h 36m,SFO,LAX,2023-06-01
$343,United Airlines,1 stop,3h 58m,SFO,LAX,2023-06-01
$343,United Airlines,1 stop,4h 12m,SFO,LAX,2023-06-01
$328,"United Airlines, Alaska Airlines",1 stop,3h 35m,SFO,LAX,2023-06-01
$328,Alaska Airlines,1 stop,5h 00m,SFO,LAX,2023-06-01
$198,Alaska Airlines,1 stop,11h 08m,SFO,LAX,2023-06-01
$212,Alaska Airlines,2 stops,9h 03m,SFO,LAX,2023-06-01
$148,Alaska Airlines,1 stop,11h 21m,SFO,LAX,2023-06-01
$178,Alaska Airlines,1 stop,12h 31m,SFO,LAX,2023-06-01
$178,Alaska Airlines,1 stop,12h 36m,SFO,LAX,2023-06-01
$198,Alaska Airlines,1 stop,11h 48m,SFO,LAX,2023-06-01
$328,"United Airlines, Alaska Airlines",1 stop,4h 34m,SFO,LAX,2023-06-01
$343,United Airlines,1 stop,5h 23m,SFO,LAX,2023-06-01
$148,Alaska Airlines,1 stop,12h 25m,SFO,LAX,2023-06-01
$163,United Airlines,1 stop,12h 45m,SFO,LAX,2023-06-01
$178,Alaska Airlines,1 stop,12h 03m,SFO,LAX,2023-06-01
$203,"Spirit Airlines, Frontier",2 stops,10h 45m,SFO,LAX,2023-06-01
$328,"United Airlines, Alaska Airlines",1 stop,5h 17m,SFO,LAX,2023-06-01
$398,United Airlines,1 stop,3h 30m,SFO,LAX,2023-06-01
$298,United Airlines,1 stop,8h 09m,SFO,LAX,2023-06-01
$358,United Airlines,1 stop,5h 23m,SFO,LAX,2023-06-01
$278,Alaska Airlines,1 stop,9h 12m,SFO,LAX,2023-06-01
$248,American Airlines,1 stop,9h 16m,SFO,LAX,2023-06-01
$343,United Airlines,1 stop,6h 20m,SFO,LAX,2023-06-01
$325,United Airlines,1 stop,7h 15m,SFO,LAX,2023-06-01
$178,Alaska Airlines,1 stop,14h 07m,SFO,LAX,2023-06-01
$363,"United Airlines, Alaska Airlines",1 stop,4h 30m,SFO,LAX,2023-06-01
$178,Alaska Airlines,1 stop,13h 50m,SFO,LAX,2023-06-01
$278,Alaska Airlines,1 stop,10h 08m,SFO,LAX,2023-06-01
$388,United Airlines,1 stop,5h 05m,SFO,LAX,2023-06-01
$178,Alaska Airlines,1 stop,13h 35m,SFO,LAX,2023-06-01
$193,Alaska Airlines,2 stops,12h 01m,SFO,LAX,2023-06-01
$178,Alaska Airlines,1 stop,15h 03m,SFO,LAX,2023-06-01
$148,Alaska Airlines,1 stop,15h 51m,SFO,LAX,2023-06-01
$278,Alaska Airlines,1 stop,10h 48m,SFO,LAX,2023-06-01
$297,United Airlines,1 stop,9h 55m,SFO,LAX,2023-06-01
$328,"United Airlines, Alaska Airlines",1 stop,7h 11m,SFO,LAX,2023-06-01
$178,Alaska Airlines,1 stop,15h 43m,SFO,LAX,2023-06-01
$448,United Airlines,1 stop,3h 15m,SFO,LAX,2023-06-01
$133,Alaska Airlines,1 stop,18h 00m,SFO,LAX,2023-06-01
$333,"United Airlines, Alaska Airlines",1 stop,7h 17m,SFO,LAX,2023-06-01
$297,United Airlines,1 stop,10h 26m,SFO,LAX,2023-06-01
$297,United Airlines,1 stop,10h 34m,SFO,LAX,2023-06-01
$178,Alaska Airlines,1 stop,16h 07m,SFO,LAX,2023-06-01
$248,American Airlines,1 stop,12h 56m,SFO,LAX,2023-06-01
$297,United Airlines,1 stop,10h 40m,SFO,LAX,2023-06-01
$297,United Airlines,1 stop,10h 14m,SFO,LAX,2023-06-01
$228,United Airlines,1 stop,13h 00m,SFO,LAX,2023-06-01
$178,Alaska Airlines,1 stop,17h 03m,SFO,LAX,2023-06-01
$297,United Airlines,1 stop,12h 14m,SFO,LAX,2023-06-01
$297,United Airlines,1 stop,12h 27m,SFO,LAX,2023-06-01
$388,"United Airlines, Alaska Airlines",1 stop,7h 27m,SFO,LAX,2023-06-01
$370,American Airlines,2 stops,9h 42m,SFO,LAX,2023-06-01
$298,United Airlines,1 stop,13h 08m,SFO,LAX,2023-06-01
$297,United Airlines,1 stop,13h 12m,SFO,LAX,2023-06-01
$353,"United Airlines, Alaska Airlines",1 stop,9h 13m,SFO,LAX,2023-06-01
$438,United Airlines,1 stop,6h 45m,SFO,LAX,2023-06-01
$297,United Airlines,1 stop,12h 34m,SFO,LAX,2023-06-01
$356,American Airlines,2 stops,10h 50m,SFO,LAX,2023-06-01
$417,American Airlines,2 stops,8h 04m,SFO,LAX,2023-06-01
$333,"United Airlines, Alaska Airlines",1 stop,10h 56m,SFO,LAX,2023-06-01
$353,"United Airlines, Alaska Airlines",1 stop,9h 20m,SFO,LAX,2023-06-01
$297,United Airlines,1 stop,14h 15m,SFO,LAX,2023-06-01
$328,American Airlines,1 stop,13h 04m,SFO,LAX,2023-06-01
$297,United Airlines,1 stop,15h 00m,SFO,LAX,2023-06-01
$452,American Airlines,1 stop,7h 54m,SFO,LAX,2023-06-01
$297,United Airlines,1 stop,14h 14m,SFO,LAX,2023-06-01
$452,American Airlines,1 stop,8h 05m,SFO,LAX,2023-06-01
$438,United Airlines,1 stop,8h 44m,SFO,LAX,2023-06-01
$328,"United Airlines, Alaska Airlines",1 stop,12h 36m,SFO,LAX,2023-06-01
$452,American Airlines,1 stop,8h 16m,SFO,LAX,2023-06-01
$248,American Airlines,1 stop,16h 22m,SFO,LAX,2023-06-01
$333,"United Airlines, Alaska Airlines",1 stop,12h 27m,SFO,LAX,2023-06-01
$452,American Airlines,1 stop,8h 21m,SFO,LAX,2023-06-01
$513,Alaska Airlines,1 stop,5h 35m,SFO,LAX,2023-06-01
